s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,action,next_s0,next_s1,next_s2,next_s3,next_s4,next_s5,next_s6,next_s7,next_s8,next_s9,next_s10,next_s11,next_s12,next_s13,next_s14,next_s15,next_s16,next_s17,next_s18,next_s19,next_s20,next_s21,next_s22,next_s23,next_s24,next_s25,next_s26,next_s27,next_s28,next_s29,next_s30,next_s31,next_s32,next_s33,reward
4.0,2.2e-05,0.09113311767578125,5000.0,5.0,1.0,4.0,3.3e-05,0.09113311767578125,5000.0,5.0,1.0,4.0,3.4e-05,0.09113311767578125,5000.0,5.0,1.0,4.0,3.4e-05,0.09113311767578125,5000.0,5.0,1.0,4.0,3.1e-05,0.09113311767578125,5000.0,5.0,1.0,5.0,5.0,15.0,0.25,0,4.0,5.7e-05,0.09113311767578125,5000.0,5.0,1.0,4.0,5.7e-05,0.09113311767578125,5000.0,5.0,1.0,4.0,5.6e-05,0.09113311767578125,5000.0,5.0,1.0,4.0,5.6e-05,0.09113311767578125,5000.0,5.0,1.0,4.0,5.3e-05,0.09113311767578125,5000.0,5.0,1.0,5.0,5.0,15.0,0.25,0.0
4.0,2.2e-05,0.09113311767578125,5000.0,5.0,1.0,4.0,3.3e-05,0.09113311767578125,5000.0,5.0,1.0,4.0,3.4e-05,0.09113311767578125,5000.0,5.0,1.0,4.0,3.4e-05,0.09113311767578125,5000.0,5.0,1.0,4.0,3.1e-05,0.09113311767578125,5000.0,5.0,1.0,5.0,5.0,15.0,0.25,1,4.0,8.2e-05,0.09113311767578125,5000.0,5.0,1.0,4.0,8.1e-05,0.09113311767578125,5000.0,5.0,1.0,4.0,8e-05,0.09113311767578125,5000.0,5.0,1.0,4.0,8e-05,0.09113311767578125,5000.0,5.0,1.0,4.0,7.6e-05,0.09113311767578125,5000.0,5.0,1.0,5.0,5.0,15.0,0.25,0.0
4.0,2.2e-05,0.09113311767578125,5000.0,5.0,1.0,4.0,3.3e-05,0.09113311767578125,5000.0,5.0,1.0,4.0,3.4e-05,0.09113311767578125,5000.0,5.0,1.0,4.0,3.4e-05,0.09113311767578125,5000.0,5.0,1.0,4.0,3.1e-05,0.09113311767578125,5000.0,5.0,1.0,5.0,5.0,15.0,0.25,2,4.0,0.000102,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000101,0.09113311767578125,5000.0,5.0,1.0,4.0,0.0001,0.09113311767578125,5000.0,5.0,1.0,4.0,0.0001,0.09113311767578125,5000.0,5.0,1.0,4.0,9.7e-05,0.09113311767578125,5000.0,5.0,1.0,5.0,5.0,15.0,0.25,0.0
4.0,2.2e-05,0.09113311767578125,5000.0,5.0,1.0,4.0,3.3e-05,0.09113311767578125,5000.0,5.0,1.0,4.0,3.4e-05,0.09113311767578125,5000.0,5.0,1.0,4.0,3.4e-05,0.09113311767578125,5000.0,5.0,1.0,4.0,3.1e-05,0.09113311767578125,5000.0,5.0,1.0,5.0,5.0,15.0,0.25,3,4.0,0.000126,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000125,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000124,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000124,0.09113311767578125,5000.0,5.0,1.0,4.0,0.00012,0.09113311767578125,5000.0,5.0,1.0,5.0,5.0,15.0,0.25,0.0
4.0,2.2e-05,0.09113311767578125,5000.0,5.0,1.0,4.0,3.3e-05,0.09113311767578125,5000.0,5.0,1.0,4.0,3.4e-05,0.09113311767578125,5000.0,5.0,1.0,4.0,3.4e-05,0.09113311767578125,5000.0,5.0,1.0,4.0,3.1e-05,0.09113311767578125,5000.0,5.0,1.0,5.0,5.0,15.0,0.25,4,4.0,0.000145,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000144,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000142,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000142,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000138,0.09113311767578125,5000.0,5.0,1.0,5.0,5.0,15.0,0.25,0.0
4.0,0.000163,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000162,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000162,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000158,0.09113311767578125,5000.0,5.0,1.0,3.0,0.00033,0.0027608871459960938,500.0,3.0,1.0,5.0,5.0,15.0,0.25,0,4.0,0.000179,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000178,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000178,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000175,0.09113311767578125,5000.0,5.0,1.0,3.0,0.000346,0.0027608871459960938,500.0,3.0,1.0,5.0,5.0,15.0,0.25,0.0
4.0,0.000163,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000162,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000162,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000158,0.09113311767578125,5000.0,5.0,1.0,3.0,0.00033,0.0027608871459960938,500.0,3.0,1.0,5.0,5.0,15.0,0.25,1,4.0,0.000204,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000203,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000203,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000199,0.09113311767578125,5000.0,5.0,1.0,3.0,0.000371,0.0027608871459960938,500.0,3.0,1.0,5.0,5.0,15.0,0.25,0.0
4.0,0.000163,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000162,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000162,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000158,0.09113311767578125,5000.0,5.0,1.0,3.0,0.00033,0.0027608871459960938,500.0,3.0,1.0,5.0,5.0,15.0,0.25,2,4.0,0.000223,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000222,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000222,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000218,0.09113311767578125,5000.0,5.0,1.0,3.0,0.00039,0.0027608871459960938,500.0,3.0,1.0,5.0,5.0,15.0,0.25,0.0
4.0,0.000163,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000162,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000162,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000158,0.09113311767578125,5000.0,5.0,1.0,3.0,0.00033,0.0027608871459960938,500.0,3.0,1.0,5.0,5.0,15.0,0.25,3,4.0,0.000246,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000245,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000244,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000241,0.09113311767578125,5000.0,5.0,1.0,3.0,0.000412,0.0027608871459960938,500.0,3.0,1.0,5.0,5.0,15.0,0.25,0.0
4.0,0.000163,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000162,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000162,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000158,0.09113311767578125,5000.0,5.0,1.0,3.0,0.00033,0.0027608871459960938,500.0,3.0,1.0,5.0,5.0,15.0,0.25,4,4.0,0.000264,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000263,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000263,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000259,0.09113311767578125,5000.0,5.0,1.0,3.0,0.000431,0.0027608871459960938,500.0,3.0,1.0,5.0,5.0,15.0,0.25,0.0
4.0,0.000286,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000285,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000285,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000281,0.09113311767578125,5000.0,5.0,1.0,3.0,0.000449,0.0027608871459960938,500.0,3.0,1.0,5.0,5.0,15.0,0.25,0,4.0,0.000302,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000301,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000301,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000297,0.09113311767578125,5000.0,5.0,1.0,3.0,0.000465,0.0027608871459960938,500.0,3.0,1.0,5.0,5.0,15.0,0.25,0.0
4.0,0.000286,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000285,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000285,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000281,0.09113311767578125,5000.0,5.0,1.0,3.0,0.000449,0.0027608871459960938,500.0,3.0,1.0,5.0,5.0,15.0,0.25,1,4.0,0.000321,0.09113311767578125,5000.0,5.0,1.0,4.0,0.00032,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000319,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000316,0.09113311767578125,5000.0,5.0,1.0,3.0,0.000484,0.0027608871459960938,500.0,3.0,1.0,5.0,5.0,15.0,0.25,0.0
4.0,0.000286,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000285,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000285,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000281,0.09113311767578125,5000.0,5.0,1.0,3.0,0.000449,0.0027608871459960938,500.0,3.0,1.0,5.0,5.0,15.0,0.25,2,4.0,0.000339,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000338,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000338,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000334,0.09113311767578125,5000.0,5.0,1.0,3.0,0.000502,0.0027608871459960938,500.0,3.0,1.0,5.0,5.0,15.0,0.25,0.0
4.0,0.000286,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000285,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000285,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000281,0.09113311767578125,5000.0,5.0,1.0,3.0,0.000449,0.0027608871459960938,500.0,3.0,1.0,5.0,5.0,15.0,0.25,3,4.0,0.000357,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000356,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000356,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000352,0.09113311767578125,5000.0,5.0,1.0,3.0,0.00052,0.0027608871459960938,500.0,3.0,1.0,5.0,5.0,15.0,0.25,0.0
4.0,0.000286,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000285,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000285,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000281,0.09113311767578125,5000.0,5.0,1.0,3.0,0.000449,0.0027608871459960938,500.0,3.0,1.0,5.0,5.0,15.0,0.25,4,4.0,0.000375,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000374,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000374,0.09113311767578125,5000.0,5.0,1.0,4.0,0.00037,0.09113311767578125,5000.0,5.0,1.0,3.0,0.000538,0.0027608871459960938,500.0,3.0,1.0,5.0,5.0,15.0,0.25,0.0
4.0,0.000396,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000395,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000395,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000391,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000441,0.0027608871459960938,500.0,3.0,1.0,5.0,5.0,15.0,0.25,0,4.0,0.000411,0.09113311767578125,5000.0,5.0,1.0,4.0,0.00041,0.09113311767578125,5000.0,5.0,1.0,4.0,0.00041,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000406,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000456,0.0027608871459960938,500.0,3.0,1.0,5.0,5.0,15.0,0.25,0.0
4.0,0.000396,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000395,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000395,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000391,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000441,0.0027608871459960938,500.0,3.0,1.0,5.0,5.0,15.0,0.25,1,4.0,0.00043,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000428,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000428,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000425,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000474,0.0027608871459960938,500.0,3.0,1.0,5.0,5.0,15.0,0.25,0.0
4.0,0.000396,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000395,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000395,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000391,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000441,0.0027608871459960938,500.0,3.0,1.0,5.0,5.0,15.0,0.25,2,4.0,0.000448,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000447,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000447,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000443,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000493,0.0027608871459960938,500.0,3.0,1.0,5.0,5.0,15.0,0.25,0.0
4.0,0.000396,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000395,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000395,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000391,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000441,0.0027608871459960938,500.0,3.0,1.0,5.0,5.0,15.0,0.25,3,4.0,0.000466,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000465,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000465,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000462,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000511,0.0027608871459960938,500.0,3.0,1.0,5.0,5.0,15.0,0.25,0.0
4.0,0.000396,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000395,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000395,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000391,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000441,0.0027608871459960938,500.0,3.0,1.0,5.0,5.0,15.0,0.25,4,4.0,0.000485,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000484,0.09113311767578125,5000.0,5.0,1.0,4.0,0.000483,0.09113311767578125,5000.0,5.0,1.0,4.0,0.00048,0.09113311767578125,5000.0,5.0,1.0,4.0,0.00053,0.0027608871459960938,500.0,3.0,1.0,5.0,5.0,15.0,0.25,0.0
